,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worldwide_gross_income,metascore,reviews_from_users,reviews_from_critics
17843,tt0077696,Hooper,Hooper,1978,1979-03-30,"Action, Comedy",99,USA,English,Hal Needham,"Thomas Rickman, Bill Kerby",Warner Bros.,"Burt Reynolds, Jan-Michael Vincent, Sally Field, Brian Keith, John Marley, Robert Klein, James Best, Adam West, Alfie Wise, Terry Bradshaw, Norman Grabowski, George Furth, Jim Burk, Don 'Red' Barry, Princess O'Mahoney",Hollywood aging stuntman Sonny Hooper wants to prove that he's still got what it takes to be a great professional in this risky and under-recognized line of work.,6.3,5635,6000000.0,78000000.0,78000000.0,70.0,39.0,32.0
17867,tt0077742,Interiors,Interiors,1978,1978-10-06,Drama,92,USA,English,Woody Allen,Woody Allen,Jack Rollins & Charles H. Joffe Productions,"Kristin Griffith, Mary Beth Hurt, Richard Jordan, Diane Keaton, E.G. Marshall, Geraldine Page, Maureen Stapleton, Sam Waterston, Missy Hope, Kerry Duffy, Nancy Collins, Penny Gaston, Roger Morden, Henderson Forsythe","Three sisters find their lives spinning out of control in the wake of their parents' sudden, unexpected divorce.",7.4,16970,10000000.0,10432366.0,10432366.0,67.0,114.0,51.0
17874,tt0077766,Jaws 2,Jaws 2,1978,1978-12-26,"Adventure, Drama, Horror",116,USA,English,Jeannot Szwarc,"Peter Benchley, Carl Gottlieb",Universal Pictures,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French, Gary Springer, Donna Wilkes, Gary Dubin, John Dukakis, G. Thomas Dunlop",Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,5.8,66283,20000000.0,81766007.0,187884007.0,51.0,310.0,101.0
18131,tt0078767,The Amityville Horror,The Amityville Horror,1979,1980-01-25,Horror,117,USA,English,Stuart Rosenberg,"Sandor Stern, Jay Anson",American International Pictures (AIP),"James Brolin, Margot Kidder, Rod Steiger, Don Stroud, Murray Hamilton, John Larch, Natasha Ryan, K.C. Martel, Meeno Peluce, Michael Sacks, Helen Shaver, Amy Wright, Val Avery, Irene Dailey, Marc Vahanian","Newlyweds move into a large house where a mass murder was committed, and experience strange manifestations which drive them away.",6.2,33174,4700000.0,86432000.0,86432000.0,28.0,296.0,125.0
18137,tt0078790,The Apple Dumpling Gang Rides Again,The Apple Dumpling Gang Rides Again,1979,1979-06-27,"Comedy, Family, Western",88,USA,English,Vincent McEveety,Don Tait,Walt Disney Productions,"Tim Conway, Don Knotts, Tim Matheson, Kenneth Mars, Elyssa Davalos, Jack Elam, Robert Pine, Harry Morgan, Ruth Buzzi, Audrey Totter, Richard X. Slattery, John Crawford, Cliff Osmond, Ted Gehring, Morgan Paull","The adventures of two idiotic outlaw wannabees, Amos and Theodore.",6.1,2155,5450000.0,20931111.0,20931111.0,37.0,10.0,7.0
18161,tt0078869,The Black Hole,The Black Hole,1979,1979-12-21,"Action, Sci-Fi",98,USA,English,Gary Nelson,"Jeb Rosebrook, Bob Barbash",Walt Disney Productions,"Maximilian Schell, Anthony Perkins, Robert Forster, Joseph Bottoms, Yvette Mimieux, Ernest Borgnine, Tom McLoughlin","A research vessel finds a missing ship, commanded by a mysterious scientist, on the edge of a black hole.",6.0,21543,20000000.0,35841901.0,35841901.0,52.0,255.0,107.0
18204,tt0078966,The China Syndrome,The China Syndrome,1979,1979-03-16,"Drama, Thriller",122,USA,English,James Bridges,"Mike Gray, T.S. Cook",Columbia Pictures,"Jane Fonda, Jack Lemmon, Michael Douglas, Scott Brady, James Hampton, Peter Donat, Wilford Brimley, Richard Herd, Daniel Valdez, Stan Bohrman, James Karen, Michael Alaimo, Donald Hotton, Khalilah Ali, Paul Larson",A reporter finds what appears to be a cover-up of safety hazards at a nuclear power plant.,7.4,25026,6000000.0,51718367.0,51718367.0,81.0,112.0,77.0
18249,tt0079100,The Electric Horseman,The Electric Horseman,1979,1979-12-21,"Comedy, Drama, Romance",121,USA,English,Sydney Pollack,"Robert Garland, Paul Gaer",Wildwood Enterprises,"Robert Redford, Jane Fonda, Valerie Perrine, Willie Nelson, John Saxon, Nicolas Coster, Allan Arbus, Wilford Brimley, Will Hare, Basil Hoffman, Timothy Scott, James Sikking, James Kline, Frank Speiser, Quinn K. Redeker","A rodeo star past his prime steals his company's horse and rides into the desert, with a feisty reporter accompanying him.",6.3,6967,12500000.0,61801971.0,61801971.0,64.0,39.0,31.0
18254,tt0079116,Escape from Alcatraz,Escape from Alcatraz,1979,1980-01-25,"Biography, Crime, Drama",112,USA,English,Don Siegel,"J. Campbell Bruce, Richard Tuggle",Paramount Pictures,"Clint Eastwood, Patrick McGoohan, Roberts Blossom, Jack Thibeau, Fred Ward, Paul Benjamin, Larry Hankin, Bruce M. Fischer, Frank Ronzio, Fred Stuthman, David Cryer, Madison Arnold, Blair Burrows, Bob Balhatchet, Matthew Locricchio","Alcatraz is the most secure prison of its time. It is believed that no one can ever escape from it, until three daring men make a possible successful attempt at escaping from one of the most infamous prisons in the world.",7.6,107436,8000000.0,43000000.0,43004381.0,76.0,156.0,68.0
18348,tt0079417,Kramer vs. Kramer,Kramer vs. Kramer,1979,1980-03-21,Drama,105,USA,English,Robert Benton,"Avery Corman, Robert Benton",Columbia Pictures,"Dustin Hoffman, Meryl Streep, Jane Alexander, Justin Henry, Howard Duff, George Coe, JoBeth Williams, Bill Moor, Howland Chamberlain, Jack Ramage, Jess Osuna, Nicholas Hormann, Ellen Parker, Shelby Brammer, Carol Nadell","Ted Kramer's wife leaves him, allowing for a lost bond to be rediscovered between Ted and his son, Billy. But a heated custody battle ensues over the divorced couple's son, deepening the wounds left by the separation.",7.8,121493,8000000.0,106260000.0,106260000.0,77.0,210.0,91.0
18383,tt0079522,Manhattan,Manhattan,1979,1979-09-07,"Comedy, Drama, Romance",96,USA,English,Woody Allen,"Woody Allen, Marshall Brickman",Jack Rollins & Charles H. Joffe Productions,"Woody Allen, Diane Keaton, Michael Murphy, Mariel Hemingway, Meryl Streep, Anne Byrne Hoffman, Karen Ludwig, Michael O'Donoghue, Victor Truro, Tisa Farrow, Helen Hanft, Bella Abzug, Gary Weis, Kenny Vance, Charles Levin",The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,7.9,123951,9000000.0,39946780.0,40177318.0,83.0,258.0,160.0
